Fire_ID,Fire_Name,sample_number,Acres,sdc,ln_sdc,mean_para,weighted_core_area,weighted_patch_area,ag_index,patch_area,total_class_area,core_area_index,clumpiness,patch_cohesion_index,core_area,number_of_patches,patch_density,pladj,pland,total_core_area,Year,StartMonth,StartDay,Fire_type,bailey_ecoregion,ecoregion_group,eco_code,sm_rdnbr
NV4064411630819990806,ROSE,sample_bigger,48365,0.04438081,-3.11494811,0.108872066,0,3.286813708,46.73768309,0.387348066,70.11,1.43030819,0.466778119,65.37775347,0.030828729,181,0.289873594,45.05776637,0.112281976,5.58,1999,8,6,Wildfire,Intermountain West,INT,5,0.6609
NV4068811634619960826,BOB'S FLAT,sample_bigger,27889,0.02770663,-3.586083544,0.109889416,1.334367,19.64719694,52.03270848,0.527855228,590.67,1.231525306,0.513183124,81.30816665,0.078257373,1119,2.780088307,51.38656102,1.467484147,87.57,1996,8,26,Wildfire,Intermountain West,INT,5,0.7147
NV4069611736619850706,DIXIE,sample_bigger,41704,0.06223084,-2.776904582,0.116760417,0,2.94736619,40.18691589,0.27,15.66,0.61150827,0.401750038,59.33169086,0.013965517,58,0.073746538,37.06896552,0.019911565,0.81,1985,7,6,Wildfire,Intermountain West,INT,5,0.7009
NV4070311606720070717,RED HOUSE COMPLEX,sample_bigger,65600,0.02625491,-3.63990226,0.103278198,2.0015505,24.87441056,59.64387965,0.830842541,1804.59,2.486114328,0.594470675,85.22616454,0.168936464,2172,0.584131754,59.22148521,0.485321511,366.93,2007,7,17,Wildfire,Intermountain West,INT,5,0.7348
NV4074311759720010831,UNNAMED,sample_bigger,55255,0.01430566,-4.247100016,0.096947844,14.80835237,146.0862452,73.59547017,2.34987715,2869.2,4.717359945,0.726052871,94.81781645,0.912162162,1221,1.538167336,73.18224592,3.614504276,1113.75,2001,8,31,Wildfire,Intermountain West,INT,5,0.6471
NV4077311800919990804,DUN GLENN COMPLEX (COSGRAVE),sample_bigger,31780,0.01038364,-4.567523788,0.106107109,57.13420607,219.4615051,73.6466898,1.424977645,956.16,3.146650035,0.733124265,92.42061512,0.629329359,671,0.878964839,72.92921687,1.252505246,422.28,1999,8,4,Wildfire,Intermountain West,INT,5,0.7283
NV4077411679420010809,SHEEP,sample_bigger,85110,NA,#NUM!,0.125261069,0,0.756921632,20.87378641,0.157846154,10.26,0,0.208659703,36.10565459,0,65,0.062573946,18.85964912,0.009877057,0,2001,8,9,Wildfire,Intermountain West,INT,5,0.5961
NV4080011817320070706,TUNGSTEN,sample_bigger,58367,0.01028758,-4.576817937,0.105621241,44.52675704,377.6332423,71.96522819,1.4643,878.58,2.824871598,0.715703107,95.61375938,0.5844,600,0.948645998,71.23540258,1.389102334,350.64,2007,7,6,Wildfire,Intermountain West,INT,5,0.6861
NV4082511602820060625,SUZIE,sample_bigger,81759,0.020479,-3.888355308,0.10333737,5.763360735,96.94386848,63.71504948,1.070239857,4194.27,2.607089243,0.617943567,91.90285115,0.278588926,3919,4.697310535,63.41973693,5.027248956,1091.79,2006,6,25,Wildfire,Intermountain West,INT,5,0.5466
NV4100611780919850817,JUNGORD,sample_bigger,40729,0.013048787,-4.3390601,0.10915371,5.782257,220.3763248,65.51416064,0.853645485,510.48,1.447284962,0.652918655,93.20700167,0.27,598,0.750276021,64.64210155,0.640469738,161.46,1985,8,17,Wildfire,Intermountain West,INT,5,0.5454
NV4104211778619960826,WINNEMUCCA COMPLEX (WINNEMUCCA),sample_bigger,25784,0.097425682,-2.328665428,0.114719645,0,0.966932609,30.42763158,0.219545455,28.98,0.202020202,0.303786453,45.67583548,0.002727273,132,0.320484806,28.72670807,0.070360982,0.36,1996,8,26,Wildfire,Intermountain West,INT,5,0.5922
NV4104411597720060726,BASCO,sample_bigger,47655,0.031919998,-3.444522569,0.104068484,0,21.00416798,55.49018354,0.686342525,1418.67,1.988718765,0.544314287,83.81736192,0.107111756,2067,3.385237026,55.04662818,2.323432129,221.4,2006,7,26,Wildfire,Intermountain West,INT,5,0.7047
NV4105511739819990806,CORRIDOR COMPLEX (LONE BUTTE),sample_bigger,33570,0.010636454,-4.543468121,0.104553807,141.9322736,366.577091,73.34148416,1.652616279,1705.5,3.396869422,0.72436084,94.69508942,0.699767442,1032,1.987593717,72.80738786,3.284729733,722.16,1999,8,6,Wildfire,Intermountain West,INT,5,0.6786
NV4107211679419850706,ROCK CRK 2,sample_bigger,39343,0.022402625,-3.798577139,0.103929773,0,29.99860455,64.06102176,0.882328767,386.46,2.797109001,0.6382413,85.26794927,0.231986301,438,0.742165201,63.07638565,0.654833707,101.61,1985,7,6,Wildfire,Intermountain West,INT,5,0.5946
NV4108611692019990708,CLOVER,sample_bigger,72638,0.009111679,-4.698198282,0.109291242,52.12356495,343.4719359,73.86449735,1.69975025,3402.9,2.423762998,0.729875013,95.35927398,0.757492507,2002,1.910063305,73.4845279,3.24663058,1516.5,1999,7,8,Wildfire,Intermountain West,INT,5,0.6041
NV4114211539220060724,MARBLE,sample_bigger,39366,0.039680407,-3.22689774,0.110054119,0,7.467462,48.91734137,0.498404908,243.72,1.320003305,0.486721208,76.97102672,0.053742331,489,0.958564153,47.9689808,0.477753079,26.28,2006,7,24,Wildfire,Intermountain West,INT,5,0.7057
NV4115111737319960826,UPPER HUMBOLDT COMPLEX (DUTCH FLAT),sample_bigger,71058,0.018880542,-3.969623411,0.100382693,2.4463395,29.75017426,66.93755346,1.118571429,321.03,3.808542858,0.668049293,86.7041333,0.341811847,287,0.357178415,65.81160639,0.39952957,98.1,1996,8,26,Wildfire,Intermountain West,INT,5,0.3402
NV4118711774819960826,WINNEMUCCA COMPLEX (BLOODY RUN),sample_bigger,35380,0.01874383,-3.976890647,0.11130828,0.945176625,43.14915998,59.91816942,0.808185484,601.29,1.743936521,0.594063065,89.10118455,0.190282258,744,1.560213548,59.18275707,1.260941941,141.57,1996,8,26,Wildfire,Intermountain West,INT,5,0.6226
NV4121211745020110930,HOTSPRINGS,sample_bigger,35055,0.003650928,-5.612773897,0.104767984,1049.258098,2656.304017,83.35677078,3.012332016,2286.36,3.191971792,0.825297077,98.44491891,1.837826087,759,1.571576944,82.83341206,4.734111543,1394.91,2011,9,30,Wildfire,Intermountain West,INT,5,0.6001
NV4122911799519850619,AMAX 1,sample_bigger,92482,0.019481643,-3.938282641,0.108763196,8.613075127,110.8717172,62.89566768,0.902599278,1500.12,1.890631167,0.623909951,91.69188937,0.246444043,1662,1.486698344,62.40700744,1.341892851,409.59,1985,6,19,Wildfire,Intermountain West,INT,5,0.539
NV4123611474620000726,NORTHEAST ELKO COUNTY ZONE (COUNTY ZONE),sample_bigger,67886,0.016282034,-4.117692988,0.102243496,48.94133917,88.59970256,67.23003252,1.107596996,1769.94,2.94937384,0.66639713,91.0967454,0.356113892,1598,1.597627753,66.74972033,1.7695277,569.07,2000,7,26,Wildfire,Intermountain West,INT,5,0.5241
NV4123711703420000630,KELLY CREEK,sample_bigger,38495,0.016789643,-4.086993071,0.103390841,8.211153794,56.87899566,67.4108818,1.222941176,727.65,3.127372672,0.670343457,89.45470217,0.380117647,595,0.933983826,66.66048237,1.142207278,226.17,2000,6,30,Wildfire,Intermountain West,INT,5,0.6782
NV4133011505620070716,HEPWORTH COMPLEX (HEPWORTH),sample_bigger,40305,0.025817085,-3.656718797,0.104649789,0,17.37086183,59.21793535,0.79034296,437.85,2.501675477,0.589227223,83.292446,0.158718412,554,0.909323388,58.36587873,0.718677338,87.93,2007,7,16,Wildfire,Intermountain West,INT,5,0.5028
NV4143011696219990805,CHIMNEY,sample_bigger,33600,0.01567501,-4.155687555,0.100303909,14.9004315,136.3634059,68.91365505,1.202446352,840.51,3.25149083,0.683641702,91.65412666,0.410214592,699,1.444477508,68.19787986,1.73690671,286.74,1999,8,5,Wildfire,Intermountain West,INT,5,0.6449
NV4152111802619850708,DOUBLEH,sample_bigger,26856,0.023194355,-3.763846349,0.107764536,4.477943311,27.97770887,57.76856076,0.681811414,549.54,1.770659803,0.572478451,82.12347833,0.141029777,806,1.786398592,57.02587619,1.21798695,113.67,1985,7,8,Wildfire,Intermountain West,INT,5,0.6112
NV4158311803020000717,BILK CREEK COMPLEX (DOUBLE H),sample_bigger,69694,0.020322459,-3.89602865,0.106675021,24.35495471,52.0005401,63.55265682,0.958149646,947.61,2.558659391,0.631202632,88.29145144,0.265358948,989,1.223652498,62.93095261,1.172442207,262.44,2000,7,17,Wildfire,Intermountain West,INT,5,0.3115
NV4164011425219960801,DIVISION,sample_bigger,34139,NA,#NUM!,0.118502506,0,0.55598625,22.31759657,0.164571429,11.52,0,0.223008618,32.68948104,0,70,0.130872922,20.3125,0.021537944,0,1996,8,1,Wildfire,Intermountain West,INT,5,0.2285
NV4166711923519990824,BADGER,sample_bigger,40247,0.01265081,-4.370034034,0.103182256,131.4964765,312.9302937,71.23935886,1.565120192,1953.27,3.193564205,0.701798634,94.45779358,0.592860577,1248,2.270083142,70.75519513,3.552952963,739.89,1999,8,24,Wildfire,Intermountain West,INT,5,0.4568
NV4168911761620010817,UPPER WILLOW,sample_bigger,40996,0.02701153,-3.611491467,0.105223048,0.889578,16.41336343,58.06792932,0.604411765,431.55,2.361235423,0.577917876,79.2901335,0.127184874,714,1.082435662,57.22627737,0.654236849,90.81,2001,8,17,Wildfire,Intermountain West,INT,5,0.3661
NV4174011645420050715,WILSON COMPLEX (RAWHIDE),sample_bigger,50877,0.05619085,-2.879001347,0.114254581,0,2.687943498,39.76124885,0.307203647,101.07,0.829211302,0.396967006,61.70515912,0.018054711,329,0.348431207,38.55743544,0.107039338,5.94,2005,7,15,Wildfire,Intermountain West,INT,5,0.6223
NV4175111790919850707,SENTINEL,sample_bigger,74645,0.011787,-4.44075805,0.104164395,128.4405817,209.0492269,73.10811941,1.403372093,1086.21,2.702055287,0.729065783,93.25432131,0.602325581,774,0.530062233,72.44179302,0.743874545,466.2,1985,7,7,Wildfire,Intermountain West,INT,5,0.5994
NV4175311853719990804,JUNGO COMPLEX,sample_bigger,77045,0.05377475,-2.922951253,0.108476329,0,3.415314798,45.52098067,0.435535714,195.12,1.003369223,0.454060925,69.57649921,0.027522321,448,0.483178069,44.53413284,0.210441306,12.33,1999,8,4,Wildfire,Intermountain West,INT,5,0.2216
NV4182111527920080810,EAST SLIDE ROCK RIDGE WFU,sample_bigger,55098,0.01622461,-4.121226054,0.093913737,22.71678454,48.85314245,70.75231808,1.476677824,1764.63,5.566519073,0.70126402,88.664942,0.522150628,1195,1.418870695,70.24532055,2.095214891,623.97,2008,8,10,Wildfire,Intermountain West,INT,5,0.4282
NV4183711405919990719,WAGON BOX,sample_bigger,32132,0.03496115,-3.353517834,0.109883529,0,6.928334727,50.84258118,0.403870968,112.68,1.673071927,0.507288758,72.26420577,0.06,279,0.571407506,49.40095847,0.230774902,16.74,1999,7,19,Wildfire,Intermountain West,INT,5,0.4768
NV4185211558419920802,COFFEE POT,sample_bigger,37655,0.01434078,-4.244648052,0.105197409,7.458769385,33.80898042,72.35166947,1.088181818,191.52,3.812283741,0.722566556,86.67172908,0.433125,176,0.314721829,70.77067669,0.342474572,76.23,1992,8,2,Wildfire,Intermountain West,INT,5,0.4166
NV4189211437820000810,CHOKE CHERRY,sample_bigger,32099,0.02444897,-3.711167191,0.101944245,0,19.60597432,61.64308701,0.844802706,749.34,3.038368523,0.610064343,83.3570734,0.195422773,887,1.932655139,60.96564977,1.632712291,173.34,2000,8,10,Wildfire,Intermountain West,INT,5,0.4131
NV4190411448120070706,HIGHWAY 93 COMPLEX (WEST BASIN),sample_bigger,63143,0.028750256,-3.549108607,0.10433799,2.668734,17.90275725,58.17271707,0.790944625,971.28,2.310064498,0.578084844,83.97052936,0.146799674,1228,1.091459507,57.61212009,0.863284031,180.27,2007,7,6,Wildfire,Intermountain West,INT,5,0.5936
NV4191411853519850708,WILDER,sample_bigger,39482,0.010567583,-4.549964171,0.110226755,37.807065,242.9135733,71.0943677,1.283771353,976.95,2.068741471,0.706377781,94.25091248,0.50109067,761,1.211293521,70.40994933,1.555023923,381.33,1985,7,8,Wildfire,Intermountain West,INT,5,0.6362
NV4192111742519960826,QUINN-O'DELL,sample_bigger,58737,0.019765248,-3.923830035,0.100455357,23.4336524,46.44192564,67.58763706,1.712284908,3642.03,3.773635106,0.66157382,91.26224782,0.500987306,2127,2.46816107,67.25109348,4.226194952,1065.6,1996,8,26,Wildfire,Intermountain West,INT,5,0.5663
NV4193511485720070716,MURPHY COMPLEX (SCOTT CREEK),sample_bigger,59642,0.014993356,-4.200148109,0.100769965,21.47570047,299.4992056,71.09962963,1.888712163,3431.79,3.122651527,0.698876884,95.1622375,0.66541552,1817,2.130942362,70.73509743,4.024736758,1209.06,2007,7,16,Wildfire,Intermountain West,INT,5,0.5948
NV4198511429920000817,WEST BASIN,sample_bigger,56395,0.034826277,-3.357383091,0.10040384,0,9.354223965,58.03551853,0.710542373,209.61,2.430147053,0.579278273,78.95413177,0.106779661,295,0.360242865,56.82696436,0.25596782,31.5,2000,8,17,Wildfire,Intermountain West,INT,5,0.3395
OR4232311875820060821,PUEBLO FIRE,sample_bigger,67854,0.016552737,-4.101203813,0.106741381,16.07411556,92.58321347,65.6350943,1.067445972,2173.32,2.09573286,0.647403358,91.15359249,0.334626719,2036,2.377287702,65.21243995,2.537626182,681.3,2006,8,21,Wildfire,Intermountain West,INT,5,0.5992
OR4241811931120000712,BEATY BUTTE,sample_bigger,33687,0.00581356,-5.147562159,0.104919368,873.3498658,1972.596673,82.76354215,4.427188841,2063.07,3.310639633,0.824070667,98.35312241,2.559978541,466,0.457681456,82.21655106,2.026242237,1192.95,2000,7,12,Wildfire,Intermountain West,INT,5,0.6108
OR4259511748719850623,CORBIN,sample_bigger,31962,0.001758871,-6.343083153,0.109854212,5675.01657,9722.261139,90.51034581,7.907319202,6341.67,2.111881977,0.894326757,99.25183436,6.049750623,802,1.289708384,90.16930872,10.19813587,4851.9,1985,6,23,Wildfire,Intermountain West,INT,5,0.5263
OR4263511759320010809,JACKIE'S BUTTE,sample_bigger,66990,0.01192938,-4.428751014,0.114212016,106.7038093,141.6167197,62.64533211,0.621785995,790.29,1.130225603,0.622886565,90.47348457,0.209598741,1271,1.521109311,61.97471814,0.945804467,266.4,2001,8,9,Wildfire,Intermountain West,INT,5,0.5718
OR4263611757419950709,INDIAN FORT,sample_bigger,29761,0.009598066,-4.646193659,0.107912407,120.7675051,383.2361854,69.38021504,1.140719499,1093.95,1.758909786,0.687589908,94.22104768,0.431418144,959,1.74318884,68.74948581,1.988489501,413.73,1995,7,9,Wildfire,Intermountain West,INT,5,0.5903
OR4283411875920060821,GRANDDAD,sample_bigger,29337,0.008545394,-4.762362855,0.105828913,346.7934898,720.33728,75.73139192,2.303424658,3026.7,2.767522788,0.742682954,96.247723,1.056369863,1314,2.468484553,75.3181683,5.685968187,1388.07,2006,8,21,Wildfire,Intermountain West,INT,5,0.5382
OR4295411972520010808,BIG JUNIPER,sample_bigger,95148,0.005698148,-5.167614069,0.108831604,285.554538,535.2443403,73.56561381,1.130970874,698.94,1.529168873,0.73409508,94.19122334,0.550194175,618,0.51908834,72.72727273,0.587073793,340.02,2001,8,8,Wildfire,Intermountain West,INT,5,0.4327
OR4296811981219860801,BACON CAMP,sample_bigger,34432,0.027944344,-3.577540461,0.111088513,0.889578,13.35258225,52.43435193,0.538753463,972.45,1.445470123,0.515819139,80.88829013,0.089252078,1805,3.267872684,51.92966219,1.760577724,161.1,1986,8,1,Wildfire,Intermountain West,INT,5,0.5923
OR4298911817020010809,SHEEPSHEAD,sample_bigger,32971,0.059354253,-2.824231501,0.106461531,0,3.900362168,49.85451018,0.598888889,48.51,1.465202364,0.498052079,76.87219036,0.042222222,81,0.16400702,47.68089054,0.098221982,3.42,2001,8,9,Wildfire,Intermountain West,INT,5,0.4973
OR4300111780120060722,HAPPY VALLEY,sample_bigger,72071,0.110494654,-2.202788139,0.122098567,0,0.711921752,21.45564822,0.165967742,61.74,0.108560794,0.214077533,38.2215154,0.001209677,372,0.367186117,20.62682216,0.060941051,0.45,2006,7,22,Wildfire,Intermountain West,INT,5,0.5142
OR4300811741020070706,CLARK BUTTE,sample_bigger,31329,0.027950091,-3.577334824,0.113351361,0,12.84615752,54.39616832,0.520427184,268.02,1.429504282,0.541096193,79.76019045,0.095067961,515,1.199823498,53.39153794,0.624420765,48.96,2007,7,6,Wildfire,Intermountain West,INT,5,0.3913
OR4337011723120020715,MAHOGANY COMPLEX (ATKINS BUTTE),sample_bigger,33472,0.019570466,-3.933733686,0.107494045,1.233278591,86.31827286,63.53223639,1.031906673,2056.59,2.2939956,0.620047247,91.7530536,0.279889614,1993,3.895960458,63.11102359,4.020267596,557.82,2002,7,15,Wildfire,Intermountain West,INT,5,0.5038
OR4337611779920060821,STAR MOUNTAIN,sample_bigger,45242,0.019787289,-3.922715517,0.109063418,4.192548167,107.1276337,62.39949749,0.817873303,1084.5,1.795541496,0.617398952,91.41314996,0.21699095,1326,2.107899664,61.82987552,1.723994861,287.73,2006,8,21,Wildfire,Intermountain West,INT,5,0.5575
OR4346511704020020713,TRIMBLY CREEK,sample_bigger,43085,0.015888353,-4.142168954,0.108882166,1.66795875,124.561074,66.57466317,1.175883777,971.28,2.170639759,0.660006313,94.81022011,0.379285714,826,1.435822556,65.93309859,1.688360451,313.29,2002,7,13,Wildfire,Intermountain West,INT,5,0.6467
OR4356811993720170802,CINDER BUTTE,sample_bigger,53113.11161,0.031435873,-3.459805586,0.10743894,0,13.46391994,52.46241576,0.576782609,265.32,1.382790126,0.522774417,82.33638774,0.089021739,460,0.672008845,51.49253731,0.387603015,40.95,2017,8,2,Wildfire,Intermountain West,INT,5,0.698
OR4363411935219900806,PINE SPRINGS BASIN,sample_bigger,71143,0.003714803,-5.59542963,0.099856364,1102.438889,5223.079128,86.6983686,6.797541985,8904.78,4.681809679,0.852927911,99.10820222,4.481931298,1310,1.405958948,86.42234845,9.557064976,5871.33,1990,8,6,Wildfire,Intermountain West,INT,5,0.5527
OR4371211834420070706,BARTLETT MOUNTAIN,sample_bigger,31845,0.02529258,-3.677244207,0.110444018,0,21.44732577,56.43526118,0.617764706,472.59,1.763280803,0.560323394,82.73850935,0.125294118,765,1.483420593,55.65606551,0.916404887,95.85,2007,7,6,Wildfire,Intermountain West,INT,5,0.4616
OR4382511810020070713,JUNIPER RESERVOIR,sample_bigger,28455,0.019264802,-3.949475579,0.106780627,5.337468,61.39228963,63.69727047,0.862903981,368.46,2.664434087,0.633864086,87.52276693,0.240070258,427,0.983926512,62.70151441,0.849034104,102.51,2007,7,13,Wildfire,Intermountain West,INT,5,0.485
OR4419011809820070817,IRISH SPRING,sample_bigger,47845,0.011388564,-4.475145585,0.100317237,33.37349224,277.1216625,74.42918403,2.794599247,5195.16,3.963321985,0.725841864,96.24840332,1.127541689,1859,2.408103456,74.11908392,6.729684104,2096.1,2007,8,17,Wildfire,Intermountain West,INT,5,0.5622
OR4481412123520130720,SUNNYSIDE TURNOFF,sample_bigger,50028,0.01695983,-4.076907672,0.095077394,0.921348643,79.91646339,73.75285733,1.819251337,340.2,5.028120545,0.736195544,91.71079615,0.683903743,187,0.277756983,72.55291005,0.505309763,127.89,2013,7,20,Wildfire,Intermountain West,INT,5,0.5027
OR4483012121619940725,LECLAIRE,sample_bigger,32087,0.0378968,-3.272888603,0.11258205,0,4.91725841,45.22417154,0.401802632,305.37,1.177349424,0.448302512,71.47789565,0.040263158,760,1.777029555,44.44444444,0.714015152,30.6,1994,7,25,Wildfire,Intermountain West,INT,5,0.4363
OR4483512025020140714,PINE CREEK,sample_bigger,31033,0.020070037,-3.908527273,0.095305315,0,23.0444214,71.68530351,1.61,115.92,5.892919583,0.71625163,89.84577715,0.5325,72,0.13164607,69.68167702,0.211950172,38.34,2014,7,14,Wildfire,Intermountain West,INT,5,0.4112
OR4490111693120060723,FOSTER GULCH,sample_bigger,52496,0.024480621,-3.709873454,0.104174991,9.1181745,29.36751907,60.91695845,0.75969129,689.04,2.43373641,0.60733965,83.81482317,0.176824697,907,0.613453156,60.2207419,0.46603502,160.38,2006,7,23,Wildfire,Intermountain West,INT,5,0.5507
OR4493112043020110824,HANCOCKCOMPLEX,sample_bigger,71495,0.05788269,-2.849336903,0.10979725,0,2.794639881,43.71428571,0.2835,17.01,0.679824561,0.437096323,58.38045911,0.0195,60,0.029159756,40.47619048,0.008266791,1.17,2011,8,24,Wildfire,Intermountain West,INT,5,0.5527
OR4495611940720070712,MONUMENT COMPLEX (RED HILL FIRE),sample_bigger,54572,0.028708499,-3.550562068,0.110552455,1.2009303,17.66707629,51.54185022,0.481975831,1595.34,1.297503237,0.505456922,79.5556609,0.07689426,3310,4.179254936,51.15367257,2.01429987,254.52,2007,7,12,Wildfire,Intermountain West,INT,5,0.5005
OR4499312125220140713,SHANIKO BUTTE,sample_bigger,39852,0.012034496,-4.419978086,0.094803443,11.19518028,80.73332135,77.82283437,2.121596091,651.33,7.168742059,0.775957841,91.16820057,1.023420195,307,0.477671725,76.90341302,1.013426465,314.19,2014,7,13,Wildfire,Intermountain West,INT,5,0.519506667
OR4509112124520170809,NENA SPRINGS,sample_bigger,70074.28087,0.029193934,-3.533794331,0.104730447,0,8.7232194,57.82150234,0.566963563,420.12,2.728910011,0.57632188,75.95368964,0.115384615,741,0.788120126,56.97300771,0.446835395,85.5,2017,8,9,Wildfire,Intermountain West,INT,5,0.6778
UT3739611395720060628,BULL COMPLEX,sample_bigger,27457,0.012784921,-4.359488849,0.107703921,12.13805771,251.7603409,67.20060202,1.051893688,1266.48,2.257966891,0.663387365,93.10962043,0.361719269,1204,2.434093482,66.6323195,2.560407569,435.51,2006,6,28,Wildfire,Intermountain West,INT,5,0.4091
UT3748311386920040728,HAWKINS,sample_bigger,34258,0.05161815,-2.963881924,0.104699729,0,3.814711775,53.48460292,0.4905,29.43,2.698657724,0.534604691,73.26316392,0.0495,60,0.105721935,50.4587156,0.051856609,2.97,2004,7,28,Wildfire,Intermountain West,INT,5,0.4051
UT3771811283720170617,BRIANHEAD,sample_bigger,74276.24329,0.00832523,-4.788464616,0.093349876,110.4719603,1020.278465,80.08287972,4.662166911,9552.78,6.078068283,0.785107218,98.35071979,2.359370425,2049,1.569229681,79.83691658,7.316010692,4834.35,2017,6,17,Wildfire,Intermountain West,INT,5,0.4729
UT3793611217320020531,SANFORD,sample_bigger,81854,0.012559551,-4.377273867,0.097099103,13.15646924,156.0035275,74.87357943,2.19312477,5958.72,5.269972071,0.733601533,94.69113232,0.931501656,2717,2.590395952,74.58237675,5.681061527,2530.89,2002,5,31,Wildfire,Intermountain West,INT,5,0.5084
UT3867011258219960705,SORENSON COMPLEX (SOUTH TWIN PEAKS),sample_bigger,46576,0.014071217,-4.263623916,0.104402414,9.596960111,76.45935721,70.28213816,1.42495114,1312.38,3.11593537,0.698311994,91.45470403,0.519283388,921,1.048961562,69.6989439,1.494718974,478.26,1996,7,5,Wildfire,Intermountain West,INT,5,0.6232
UT3869111256720060716,DOG VALLEY,sample_bigger,28992,0.012159052,-4.409681366,0.103174608,4.003101,184.5778179,75.21924067,2.372054795,865.8,3.99477635,0.748136636,94.97738112,1.009232877,365,0.678865413,74.44906445,1.610305958,368.37,2006,7,16,Wildfire,Intermountain West,INT,5,0.3254
UT3925610955720020620,RATTLE COMPLEX (RATTLE),sample_bigger,87396,0.012403474,-4.389778684,0.099278513,81.04075798,165.0295222,74.54718101,2.096635437,7608.69,5.308861139,0.728204449,93.66496622,0.904836043,3629,3.030126167,74.2905809,6.3530699,3283.65,2002,6,20,Wildfire,Intermountain West,INT,5,0.6403
UT3949111218019960801,LEAMINGTON COMPLEX (LEAMINGTON),sample_bigger,28159,0.01025882,-4.579617456,0.104446046,47.73423978,426.5942685,75.46634892,2.133590734,1105.2,2.641552273,0.748817519,96.12923032,0.937528958,518,1.090827614,74.78420195,2.327379689,485.64,1996,8,1,Wildfire,Intermountain West,INT,5,0.395
UT3949911117520120626,SEELEY,sample_bigger,44627,0.008064957,-4.820226899,0.093746096,82.92405245,532.7962404,83.14721722,5.579169742,6047.82,7.5330704,0.813723421,97.51151437,3.208367159,1084,1.707811695,82.82612578,9.528171331,3477.87,2012,6,26,Wildfire,Intermountain West,INT,5,0.5611
UT3971111167420070719,SALT CREEK,sample_bigger,26924,0.017814844,-4.027723237,0.100909884,27.80281478,103.6442446,65.79764854,1.090283286,1154.61,3.230981591,0.649960988,89.75657335,0.320056657,1059,2.100267859,65.21552732,2.289886943,338.94,2007,7,19,Wildfire,Intermountain West,INT,5,0.5343
UT3972411225419990702,RAILROAD,sample_bigger,64598,0.012778834,-4.359965071,0.106678324,21.47179651,155.1184344,70.94838391,1.49954717,2384.28,2.537070545,0.704039117,94.57199468,0.571641509,1590,1.226821181,70.51185263,1.83967623,908.91,1999,7,2,Wildfire,Intermountain West,INT,5,0.5445
UT3983011198820000727,OLDROYD COMPLEX (MONA WEST),sample_bigger,28774,0.012523368,-4.38015894,0.099287678,14.92695561,196.1856842,73.49772564,2.139095581,2081.34,4.398954411,0.723408506,95.03952282,0.848663926,973,1.955318265,73.01305889,4.182612659,825.75,2000,7,27,Wildfire,Intermountain West,INT,5,0.4561
UT4010311277319940615,SIMPSON BT,sample_bigger,36917,0.040697111,-3.201598172,0.109844017,0,5.799188482,46.64597756,0.398944099,192.69,1.385740502,0.464907073,70.25964854,0.042670807,483,0.727356182,45.63288183,0.290174457,20.61,1994,6,15,Wildfire,Intermountain West,INT,5,0.5665
UT4022111265619960708,DAVIS KNOLL COMPLEX (DAVIS KNOLL),sample_bigger,34843,0.012503732,-4.381728119,0.108116528,30.45426985,135.2530344,67.89314774,1.133035714,888.3,1.939532686,0.672974196,93.61129793,0.398112245,784,1.607764848,67.20871327,1.821654993,312.12,1996,7,8,Wildfire,Intermountain West,INT,5,0.6594
UT4060311265520090806,BIG POLE,sample_bigger,41579,0.00648549,-5.038187905,0.09914745,306.1318031,1381.840569,82.56395436,4.62655527,3599.46,4.277456106,0.815536297,98.03526524,2.636375321,778,1.183838024,82.15107266,5.477092049,2051.1,2009,8,6,Wildfire,Intermountain West,INT,5,0.6568
UT4067711294220000801,SALT LAKE DESERT COMPLEX (ARAGONITE),sample_bigger,39825,0.011110427,-4.499871242,0.109252367,9.190694446,326.1468848,73.03932063,1.776368715,1271.88,2.212530952,0.726090284,96.27490652,0.720251397,716,0.884347591,72.42428531,1.570927394,515.7,2000,8,1,Wildfire,Intermountain West,INT,5,0.5659
UT4072211291219950827,REDLAM,sample_bigger,35405,0.025470213,-3.670245627,0.104195424,1.5567615,26.31180629,60.0926514,0.925361767,1215,2.402829808,0.59219759,89.09832071,0.19302361,1313,2.313126508,59.57407407,2.140478833,253.44,1995,8,27,Wildfire,Intermountain West,INT,5,0.4822
UT4084911290119950808,PUDDLE VALLEY,sample_bigger,31249,0.016822598,-4.085032177,0.108661095,5.182922669,68.14448631,65.29973997,1.051636808,1291.41,2.352193692,0.644989609,91.257606,0.317198697,1228,2.144894243,64.75364137,2.255649735,389.52,1995,8,8,Wildfire,Intermountain West,INT,5,0.6551
UT4093311284520070718,MONARCH,sample_bigger,25046,0.019874294,-3.918328141,0.107747836,4.003101,40.54205135,60.33070623,0.669006772,296.37,2.075115256,0.600404919,82.50590758,0.173905192,443,1.085595931,59.27725478,0.726271029,77.04,2007,7,18,Wildfire,Intermountain West,INT,5,0.3165
UT4197511236920130808,STATE,sample_bigger,31011,0.017514041,-4.044752377,0.101134529,7.709676,57.12343268,69.05636183,1.232985782,780.48,3.327127297,0.685199736,89.98233969,0.410047393,633,1.381930118,68.31180812,1.703900187,259.56,2013,8,8,Wildfire,Intermountain West,INT,5,0.5911
